id,nome,sobrenome,sexo,pai,mae,nascimento
1,Apollo,Gonçalves,M,0,0,1940-12-02 00:00:00
2,Vitória,Gonçalves,F,0,0,1940-05-24 00:00:00
3,Anthony,Fernandes,M,0,0,1940-10-19 00:00:00
4,Maria Fernanda,Fernandes,F,0,0,1940-09-14 00:00:00
5,Yuri,Moura,M,0,0,1940-08-25 00:00:00
6,Clarice,Moura,F,0,0,1940-12-19 00:00:00
7,Nicolas,Teixeira,M,0,0,1940-08-03 00:00:00
8,Rebeca,Teixeira,F,0,0,1940-10-10 00:00:00
9,Lucca,Barbosa,M,0,0,1940-09-13 00:00:00
10,Laís,Barbosa,F,0,0,1940-04-24 00:00:00
11,Eduardo,Nunes,M,0,0,1940-12-07 00:00:00
12,Ana Laura,Nunes,F,0,0,1940-12-11 00:00:00
13,Davi Lucca,Pereira,M,0,0,1940-12-27 00:00:00
14,Ayla,Pereira,F,0,0,1940-05-12 00:00:00
15,Enrico,Costa,M,0,0,1940-01-25 00:00:00
16,Stella,Costa,F,0,0,1940-11-09 00:00:00
17,Luiz Felipe,Oliveira,M,0,0,1940-03-20 00:00:00
18,Mariana,Oliveira,F,0,0,1940-07-03 00:00:00
19,Enzo Gabriel,Sousa,M,0,0,1940-12-15 00:00:00
20,Emilly,Sousa,F,0,0,1940-06-14 00:00:00
21,Vinicius,Vieira,M,0,0,1940-06-15 00:00:00
22,Isadora,Vieira,F,0,0,1940-01-19 00:00:00
23,Samuel,Gomes,M,0,0,1940-05-04 00:00:00
24,Isabela,Gomes,F,0,0,1940-01-27 00:00:00
25,Davi,Almeida,M,0,0,1940-02-05 00:00:00
26,Raquel,Almeida,F,0,0,1940-09-22 00:00:00
27,Rael,Mendes,M,0,0,1940-10-03 00:00:00
28,Manuella,Mendes,F,0,0,1940-08-17 00:00:00
29,Vinícius,Carvalho,M,0,0,1940-08-20 00:00:00
30,Maria Alice,Carvalho,F,0,0,1940-03-25 00:00:00
31,Arthur,Mota,M,0,0,1940-10-07 00:00:00
32,Alexia,Mota,F,0,0,1940-06-10 00:00:00
33,João Pedro,Ribeiro,M,0,0,1940-01-25 00:00:00
34,Ana Sophia,Ribeiro,F,0,0,1940-06-21 00:00:00
35,Raul,Lima,M,0,0,1940-03-17 00:00:00
36,Melina,Lima,F,0,0,1940-02-04 00:00:00
37,Antônio,Freitas,M,0,0,1940-04-02 00:00:00
38,Hadassa,Freitas,F,0,0,1940-11-26 00:00:00
39,Augusto,Silva,M,0,0,1940-03-13 00:00:00
40,Sabrina,Silva,F,0,0,1940-01-12 00:00:00
41,Fernando,Santos,M,0,0,1940-06-05 00:00:00
42,Aurora,Santos,F,0,0,1940-06-20 00:00:00
43,Noah,Rocha,M,0,0,1940-12-03 00:00:00
44,Helena,Rocha,F,0,0,1940-08-11 00:00:00
45,Ravi Lucca,Pinto,M,0,0,1940-07-28 00:00:00
